10:31:17 AM  [main] 	Initializing Control Panel
10:31:17 AM  [main] 	Windows Version:  Home  64-bit
10:31:17 AM  [main] 	XAMPP Version: 8.1.17
10:31:17 AM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
10:31:17 AM  [main] 	You are not running with administrator rights! This will work for
10:31:17 AM  [main] 	most application stuff but whenever you do something with services
10:31:17 AM  [main] 	there will be a security dialogue or things will break! So think 
10:31:17 AM  [main] 	about running this application with administrator rights!
10:31:17 AM  [main] 	XAMPP Installation Directory: "c:\xampp\"
10:31:17 AM  [main] 	Checking for prerequisites
10:31:18 AM  [main] 	All prerequisites found
10:31:18 AM  [main] 	Initializing Modules
10:31:18 AM  [main] 	Starting Check-Timer
10:31:18 AM  [main] 	Control Panel Ready
5:03:20 PM  [main] 	Deinitializing Modules
5:03:20 PM  [main] 	Deinitializing Control Panel

